course_id,branch,track,course_title,difficulty_level,provider,format,description,skills_taught,tools_covered,prerequisite_course_title,estimated_hours,rating,num_reviews,career_paths,industry_sectors
AER-0001,Aerospace Engineering,Aerodynamics,Introduction to Aerodynamics,Beginner,Udemy,Instructor-led Live,"This foundational course introduces the core concepts of Aerodynamics within Aerospace Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Aerodynamics is required, though general familiarity with Aerospace Engineering fundamentals is helpful.",orbital mechanics calculations; cfd analysis; aircraft structural analysis; matlab,stk; ansys fluent; matlab,None,19,4.4,4958,aerospace design engineer; spacecraft systems engineer; cfd analyst,space technology; aviation
ENV-0139,Environmental Engineering,Noise Pollution Control,Advanced Noise Pollution Control,Advanced,Pluralsight,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Noise Pollution Control, including optimization techniques, edge cases, and current best practices used in Environmental Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",environmental impact assessment; sustainability reporting; gis mapping; water quality analysis,autocad civil 3d; matlab; arcgis,Applied Noise Pollution Control,30,4.2,759,EHS specialist; environmental analyst; environmental engineer,government; manufacturing
BME-0174,Biomedical Engineering,Biomedical Signal Processing,Applied Biomedical Signal Processing,Intermediate,LinkedIn Learning,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Biomedical Signal Processing, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Biomedical Signal Processing concepts to realistic scenarios.",matlab; biomechanics analysis; medical device design; regulatory compliance,matlab; solidworks; python,Introduction to Biomedical Signal Processing,40,4.0,2406,regulatory affairs specialist; rehabilitation engineer; clinical engineer,pharmaceutical; healthcare
AER-0072,Aerospace Engineering,Composite Materials,Introduction to Composite Materials,Beginner,Udemy,Interactive Lab,"This foundational course introduces the core concepts of Composite Materials within Aerospace Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Composite Materials is required, though general familiarity with Aerospace Engineering fundamentals is helpful.",cad modeling; orbital mechanics calculations; cfd analysis; flight dynamics,star-ccm+; nastran; stk,None,18,4.0,5652,cfd analyst; avionics engineer; aerospace design engineer,defense; aviation
MEC-0132,Mechanical Engineering,Mechatronics,Introduction to Mechatronics,Beginner,edX,Instructor-led Live,"This foundational course introduces the core concepts of Mechatronics within Mechanical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Mechatronics is required, though general familiarity with Mechanical Engineering fundamentals is helpful.",ansys; cnc programming; project management; gd&t,abaqus; creo; fusion 360,None,14,4.9,4025,hvac engineer; product design engineer; quality engineer,consumer goods; heavy machinery
CIV-0068,Civil Engineering,Environmental Engineering Basics,Advanced Environmental Engineering Basics,Advanced,LinkedIn Learning,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in Environmental Engineering Basics, including optimization techniques, edge cases, and current best practices used in Civil Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",project scheduling; surveying; concrete design; staad pro,primavera; staad pro; etabs,Applied Environmental Engineering Basics,46,3.8,3039,structural engineer; construction manager; transportation engineer,real estate; construction
EEE-0075,Electrical Engineering,High Voltage Engineering,Applied High Voltage Engineering,Intermediate,Coursera,Self-paced Reading,"Building on foundational knowledge, this course goes deeper into High Voltage Engineering, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply High Voltage Engineering concepts to realistic scenarios.",circuit design; electrical machine design; matlab simulink; protection relay coordination,labview; etap; autocad electrical,Introduction to High Voltage Engineering,37,4.4,712,energy consultant; electrical design engineer; automation engineer,renewable energy; manufacturing
MEC-0130,Mechanical Engineering,Renewable Energy Systems,Renewable Energy Systems Capstone Project,Capstone,Udemy,Self-paced Reading,"A project-based capstone course where learners apply everything covered across the Renewable Energy Systems track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",cad modeling; autocad; cnc programming; solidworks,abaqus; matlab; solidworks,Advanced Renewable Energy Systems,23,4.5,770,mechanical design engineer; quality engineer; product design engineer,automotive; heavy machinery
CHE-0087,Chemical Engineering,Polymer Engineering,Advanced Polymer Engineering,Advanced,FutureLearn,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Polymer Engineering, including optimization techniques, edge cases, and current best practices used in Chemical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",process control; heat balance; mass balance; aspen plus,aspen plus; matlab; hysys,Applied Polymer Engineering,54,4.2,5781,chemical process consultant; process engineer; plant engineer,oil and gas; food processing
EEE-0088,Electrical Engineering,Smart Grid Technology,Advanced Smart Grid Technology,Advanced,edX,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Smart Grid Technology, including optimization techniques, edge cases, and current best practices used in Electrical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",plc programming; protection relay coordination; power system analysis; circuit design,etap; matlab simulink; plc software,Applied Smart Grid Technology,46,3.9,2205,automation engineer; electrical design engineer; power systems engineer,renewable energy; automotive
AUT-0062,Automobile Engineering,Automotive Manufacturing,Introduction to Automotive Manufacturing,Beginner,LinkedIn Learning,Self-paced Reading,"This foundational course introduces the core concepts of Automotive Manufacturing within Automobile Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Automotive Manufacturing is required, though general familiarity with Automobile Engineering fundamentals is helpful.",automotive diagnostics; engine design; vehicle dynamics analysis; cad modeling,ansys; carsim; catia,None,14,4.5,2735,vehicle testing engineer; ev powertrain engineer; chassis engineer,automotive; electric vehicles
CIV-0138,Civil Engineering,Water Resources Engineering,Advanced Water Resources Engineering,Advanced,edX,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Water Resources Engineering, including optimization techniques, edge cases, and current best practices used in Civil Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",structural analysis; concrete design; staad pro; cost estimation,ms project; etabs; sap2000,Applied Water Resources Engineering,55,4.5,5188,transportation engineer; geotechnical engineer; site engineer,government; construction
AER-0176,Aerospace Engineering,Aircraft Maintenance,Applied Aircraft Maintenance,Intermediate,LinkedIn Learning,Video Course,"Building on foundational knowledge, this course goes deeper into Aircraft Maintenance, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Aircraft Maintenance concepts to realistic scenarios.",matlab; cad modeling; cfd analysis; orbital mechanics calculations,matlab; nastran; catia,Introduction to Aircraft Maintenance,39,4.0,3644,avionics engineer; propulsion engineer; cfd analyst,space technology; aerospace
CHE-0038,Chemical Engineering,Heat Transfer Operations,Advanced Heat Transfer Operations,Advanced,Pluralsight,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Heat Transfer Operations, including optimization techniques, edge cases, and current best practices used in Chemical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",process simulation; process control; hazop analysis; aspen plus,comsol; autocad p&id; matlab,Applied Heat Transfer Operations,30,4.9,1673,safety engineer; plant engineer; process engineer,petrochemical; oil and gas
CSE-0174,Computer Science Engineering,Internet of Things,Applied Internet of Things,Intermediate,FutureLearn,Interactive Lab,"Building on foundational knowledge, this course goes deeper into Internet of Things, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Internet of Things concepts to realistic scenarios.",data structures; sql; linux; algorithms,mongodb; jupyter notebook; gcp,Introduction to Internet of Things,38,3.9,4549,devops engineer; data scientist; cloud engineer,healthcare; technology
BME-0149,Biomedical Engineering,Genomics and Proteomics Basics,Advanced Genomics and Proteomics Basics,Advanced,FutureLearn,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Genomics and Proteomics Basics, including optimization techniques, edge cases, and current best practices used in Biomedical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",regulatory compliance; biomechanics analysis; matlab; biomedical signal processing,solidworks; labview; ansys,Applied Genomics and Proteomics Basics,39,4.5,3928,biomedical engineer; medical device engineer; clinical engineer,healthcare; research institutes
IPE-0149,Industrial and Production Engineering,Value Engineering,Advanced Value Engineering,Advanced,NPTEL,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Value Engineering, including optimization techniques, edge cases, and current best practices used in Industrial and Production Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",six sigma; operations research; supply chain analysis; erp systems,tableau; sap; minitab,Applied Value Engineering,38,4.9,3357,quality engineer; operations manager; supply chain analyst,logistics; retail
CIV-0088,Civil Engineering,Steel Structure Design,Advanced Steel Structure Design,Advanced,Pluralsight,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Steel Structure Design, including optimization techniques, edge cases, and current best practices used in Civil Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",cost estimation; surveying; autocad; staad pro,primavera; autocad; revit,Applied Steel Structure Design,36,3.8,1514,construction manager; urban planner; geotechnical engineer,infrastructure; real estate
CHE-0041,Chemical Engineering,Reaction Engineering,Introduction to Reaction Engineering,Beginner,Udacity,Video Course,"This foundational course introduces the core concepts of Reaction Engineering within Chemical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Reaction Engineering is required, though general familiarity with Chemical Engineering fundamentals is helpful.",process control; process simulation; hazop analysis; aspen plus,autocad p&id; comsol; matlab,None,19,4.0,2190,chemical process consultant; refinery engineer; plant engineer,manufacturing; petrochemical
BME-0153,Biomedical Engineering,Regulatory Affairs in MedTech,Introduction to Regulatory Affairs in MedTech,Beginner,NPTEL,Interactive Lab,"This foundational course introduces the core concepts of Regulatory Affairs in MedTech within Biomedical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Regulatory Affairs in MedTech is required, though general familiarity with Biomedical Engineering fundamentals is helpful.",biomedical signal processing; medical device design; matlab; regulatory compliance,ansys; solidworks; matlab,None,13,4.2,4991,clinical engineer; rehabilitation engineer; regulatory affairs specialist,medical devices; healthcare
BME-0187,Biomedical Engineering,Artificial Organs,Advanced Artificial Organs,Advanced,Pluralsight,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Artificial Organs, including optimization techniques, edge cases, and current best practices used in Biomedical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",regulatory compliance; medical device design; biomedical signal processing; biomechanics analysis,solidworks; matlab; ansys,Applied Artificial Organs,47,4.4,3298,medical device engineer; clinical engineer; regulatory affairs specialist,medical devices; research institutes
PET-0108,Petroleum Engineering,Reservoir Simulation,Advanced Reservoir Simulation,Advanced,NPTEL,Video Course,"This advanced course covers complex, industry-relevant topics in Reservoir Simulation, including optimization techniques, edge cases, and current best practices used in Petroleum Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",petroleum economics; well log interpretation; drilling engineering analysis; reservoir simulation,autocad; prosper; petrel,Applied Reservoir Simulation,35,3.8,2980,production engineer; hse engineer; drilling engineer,oil and gas; offshore drilling
BME-0087,Biomedical Engineering,Rehabilitation Engineering,Advanced Rehabilitation Engineering,Advanced,FutureLearn,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in Rehabilitation Engineering, including optimization techniques, edge cases, and current best practices used in Biomedical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",regulatory compliance; biomedical signal processing; matlab; medical device design,ansys; solidworks; python,Applied Rehabilitation Engineering,45,4.5,2267,clinical engineer; medical device engineer; rehabilitation engineer,pharmaceutical; medical devices
PET-0132,Petroleum Engineering,Petroleum Refining,Introduction to Petroleum Refining,Beginner,FutureLearn,Blended (Video + Project),"This foundational course introduces the core concepts of Petroleum Refining within Petroleum Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Petroleum Refining is required, though general familiarity with Petroleum Engineering fundamentals is helpful.",well log interpretation; drilling engineering analysis; reservoir simulation; hse compliance,eclipse; petrel; autocad,None,19,4.9,5376,petroleum geologist; production engineer; reservoir engineer,energy; oil and gas
AUT-0152,Automobile Engineering,Automotive CAD and CAM,Introduction to Automotive CAD and CAM,Beginner,Coursera,Blended (Video + Project),"This foundational course introduces the core concepts of Automotive CAD and CAM within Automobile Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Automotive CAD and CAM is required, though general familiarity with Automobile Engineering fundamentals is helpful.",vehicle dynamics analysis; battery management; cad modeling; engine design,carsim; matlab; solidworks,None,18,3.9,4213,automotive design engineer; chassis engineer; vehicle testing engineer,automotive; manufacturing
EEE-0194,Electrical Engineering,Grid Integration,Applied Grid Integration,Intermediate,LinkedIn Learning,Video Course,"Building on foundational knowledge, this course goes deeper into Grid Integration, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Grid Integration concepts to realistic scenarios.",protection relay coordination; circuit design; matlab simulink; electrical machine design,pspice; matlab simulink; autocad electrical,Introduction to Grid Integration,40,4.0,1257,power systems engineer; automation engineer; energy consultant,renewable energy; power and energy
CSE-0070,Computer Science Engineering,Computer Networks,Computer Networks Capstone Project,Capstone,FutureLearn,Video Course,"A project-based capstone course where learners apply everything covered across the Computer Networks track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",linux; git; docker; sql,jupyter notebook; postgresql; jenkins,Advanced Computer Networks,18,4.9,5374,security analyst; ml engineer; devops engineer,consulting; finance
PET-0177,Petroleum Engineering,Petroleum Data Analytics,Advanced Petroleum Data Analytics,Advanced,Udemy,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in Petroleum Data Analytics, including optimization techniques, edge cases, and current best practices used in Petroleum Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",hse compliance; well log interpretation; reservoir simulation; petroleum economics,matlab; prosper; petrel,Applied Petroleum Data Analytics,47,4.1,1964,drilling engineer; hse engineer; reservoir engineer,energy; engineering consulting
AER-0159,Aerospace Engineering,Flight Control Systems,Advanced Flight Control Systems,Advanced,edX,Video Course,"This advanced course covers complex, industry-relevant topics in Flight Control Systems, including optimization techniques, edge cases, and current best practices used in Aerospace Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",flight dynamics; orbital mechanics calculations; aircraft structural analysis; matlab,stk; matlab; catia,Applied Flight Control Systems,51,4.0,4293,aerospace design engineer; cfd analyst; propulsion engineer,aerospace; defense
CHE-0088,Chemical Engineering,Polymer Engineering,Advanced Polymer Engineering,Advanced,Pluralsight,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Polymer Engineering, including optimization techniques, edge cases, and current best practices used in Chemical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",aspen plus; hazop analysis; process control; reactor design,hysys; matlab; aspen plus,Applied Polymer Engineering,36,4.8,1699,plant engineer; refinery engineer; chemical process consultant,petrochemical; pharmaceutical
BME-0030,Biomedical Engineering,Biomaterials,Biomaterials Capstone Project,Capstone,Pluralsight,Instructor-led Live,"A project-based capstone course where learners apply everything covered across the Biomaterials track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",regulatory compliance; biomechanics analysis; biomedical signal processing; medical device design,python; labview; solidworks,Advanced Biomaterials,15,4.8,3629,biomedical engineer; regulatory affairs specialist; clinical engineer,healthcare; medical devices
EEE-0084,Electrical Engineering,Smart Grid Technology,Applied Smart Grid Technology,Intermediate,LinkedIn Learning,Blended (Video + Project),"Building on foundational knowledge, this course goes deeper into Smart Grid Technology, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Smart Grid Technology concepts to realistic scenarios.",plc programming; protection relay coordination; circuit design; electrical machine design,autocad electrical; pspice; labview,Introduction to Smart Grid Technology,37,3.6,942,control systems engineer; electrical design engineer; energy consultant,power and energy; manufacturing
CIV-0064,Civil Engineering,Environmental Engineering Basics,Applied Environmental Engineering Basics,Intermediate,NPTEL,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Environmental Engineering Basics, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Environmental Engineering Basics concepts to realistic scenarios.",surveying; staad pro; autocad; soil testing,ms project; autocad; sap2000,Introduction to Environmental Engineering Basics,23,3.6,5484,structural engineer; geotechnical engineer; urban planner,construction; infrastructure
IPE-0024,Industrial and Production Engineering,Lean Manufacturing,Applied Lean Manufacturing,Intermediate,Udacity,Interactive Lab,"Building on foundational knowledge, this course goes deeper into Lean Manufacturing, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Lean Manufacturing concepts to realistic scenarios.",six sigma; simulation modeling; supply chain analysis; erp systems,sap; tableau; minitab,Introduction to Lean Manufacturing,23,4.9,1263,industrial engineer; operations manager; quality engineer,consumer goods; retail
BME-0110,Biomedical Engineering,Neural Engineering,Neural Engineering Capstone Project,Capstone,Udemy,Self-paced Reading,"A project-based capstone course where learners apply everything covered across the Neural Engineering track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",matlab; regulatory compliance; biomedical signal processing; biomechanics analysis,solidworks; python; ansys,Advanced Neural Engineering,29,3.8,1776,clinical engineer; biomedical engineer; regulatory affairs specialist,healthcare; research institutes
CIV-0074,Civil Engineering,Hydraulics and Hydrology,Applied Hydraulics and Hydrology,Intermediate,edX,Self-paced Reading,"Building on foundational knowledge, this course goes deeper into Hydraulics and Hydrology, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Hydraulics and Hydrology concepts to realistic scenarios.",soil testing; concrete design; surveying; staad pro,revit; ms project; etabs,Introduction to Hydraulics and Hydrology,37,4.4,338,geotechnical engineer; urban planner; construction manager,urban development; government
AUT-0111,Automobile Engineering,Autonomous Vehicle Technology,Introduction to Autonomous Vehicle Technology,Beginner,Coursera,Interactive Lab,"This foundational course introduces the core concepts of Autonomous Vehicle Technology within Automobile Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Autonomous Vehicle Technology is required, though general familiarity with Automobile Engineering fundamentals is helpful.",engine design; battery management; cad modeling; automotive diagnostics,carsim; catia; matlab,None,10,3.9,3048,ev powertrain engineer; automotive design engineer; vehicle testing engineer,electric vehicles; logistics
MEC-0181,Mechanical Engineering,Six Sigma Quality Control,Introduction to Six Sigma Quality Control,Beginner,NPTEL,Interactive Lab,"This foundational course introduces the core concepts of Six Sigma Quality Control within Mechanical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Six Sigma Quality Control is required, though general familiarity with Mechanical Engineering fundamentals is helpful.",ansys; solidworks; thermodynamic analysis; cnc programming,ansys; fusion 360; solidworks,None,11,3.7,3495,hvac engineer; product design engineer; robotics engineer,aerospace; heavy machinery
CSE-0145,Computer Science Engineering,Mobile App Development,Applied Mobile App Development,Intermediate,NPTEL,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Mobile App Development, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Mobile App Development concepts to realistic scenarios.",algorithms; system design; git; docker,postgresql; mongodb; github,Introduction to Mobile App Development,38,3.8,4566,systems architect; security analyst; ml engineer,healthcare; technology
CHE-0124,Chemical Engineering,Process Simulation,Applied Process Simulation,Intermediate,NPTEL,Video Course,"Building on foundational knowledge, this course goes deeper into Process Simulation, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Process Simulation concepts to realistic scenarios.",process control; process simulation; mass balance; hazop analysis,autocad p&id; comsol; hysys,Introduction to Process Simulation,37,4.3,3340,refinery engineer; process engineer; plant engineer,food processing; petrochemical
MEC-0071,Mechanical Engineering,Mechanics of Materials,Introduction to Mechanics of Materials,Beginner,Udemy,Video Course,"This foundational course introduces the core concepts of Mechanics of Materials within Mechanical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Mechanics of Materials is required, though general familiarity with Mechanical Engineering fundamentals is helpful.",cad modeling; autocad; gd&t; fea simulation,autocad; catia; solidworks,None,15,3.8,3475,robotics engineer; quality engineer; manufacturing engineer,energy; manufacturing
AUT-0072,Automobile Engineering,Hybrid Powertrains,Introduction to Hybrid Powertrains,Beginner,Udacity,Blended (Video + Project),"This foundational course introduces the core concepts of Hybrid Powertrains within Automobile Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Hybrid Powertrains is required, though general familiarity with Automobile Engineering fundamentals is helpful.",cad modeling; vehicle dynamics analysis; engine design; battery management,matlab; ansys; catia,None,16,4.2,1322,automotive electronics engineer; vehicle testing engineer; chassis engineer,logistics; manufacturing
CIV-0001,Civil Engineering,Structural Analysis,Introduction to Structural Analysis,Beginner,LinkedIn Learning,Interactive Lab,"This foundational course introduces the core concepts of Structural Analysis within Civil Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Structural Analysis is required, though general familiarity with Civil Engineering fundamentals is helpful.",soil testing; staad pro; structural analysis; surveying,autocad; primavera; sap2000,None,20,4.5,821,transportation engineer; urban planner; geotechnical engineer,government; real estate
CSE-0062,Computer Science Engineering,Computer Networks,Introduction to Computer Networks,Beginner,Pluralsight,Self-paced Reading,"This foundational course introduces the core concepts of Computer Networks within Computer Science Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Computer Networks is required, though general familiarity with Computer Science Engineering fundamentals is helpful.",sql; system design; kubernetes; data structures,tensorflow; gcp; jupyter notebook,None,10,4.0,3954,cloud engineer; security analyst; systems architect,finance; e-commerce
ENV-0180,Environmental Engineering,Circular Economy Design,Circular Economy Design Capstone Project,Capstone,Pluralsight,Blended (Video + Project),"A project-based capstone course where learners apply everything covered across the Circular Economy Design track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",sustainability reporting; water quality analysis; environmental impact assessment; waste management planning,autocad civil 3d; arcgis; epanet,Advanced Circular Economy Design,16,4.0,346,environmental analyst; water resources engineer; environmental engineer,construction; manufacturing
IPE-0184,Industrial and Production Engineering,Industry 4.0,Applied Industry 4.0,Intermediate,Pluralsight,Video Course,"Building on foundational knowledge, this course goes deeper into Industry 4.0, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Industry 4.0 concepts to realistic scenarios.",lean manufacturing; supply chain analysis; operations research; erp systems,sap; excel; tableau,Introduction to Industry 4.0,31,4.3,302,industrial engineer; supply chain analyst; process improvement engineer,retail; manufacturing
PET-0084,Petroleum Engineering,Natural Gas Engineering,Applied Natural Gas Engineering,Intermediate,Udemy,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Natural Gas Engineering, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Natural Gas Engineering concepts to realistic scenarios.",well log interpretation; reservoir simulation; hse compliance; petroleum economics,prosper; matlab; autocad,Introduction to Natural Gas Engineering,23,3.9,2673,reservoir engineer; production engineer; drilling engineer,offshore drilling; engineering consulting
IPE-0085,Industrial and Production Engineering,Industrial Automation,Applied Industrial Automation,Intermediate,LinkedIn Learning,Self-paced Reading,"Building on foundational knowledge, this course goes deeper into Industrial Automation, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Industrial Automation concepts to realistic scenarios.",supply chain analysis; lean manufacturing; simulation modeling; erp systems,ms project; tableau; sap,Introduction to Industrial Automation,30,4.4,3761,operations manager; supply chain analyst; quality engineer,automotive; manufacturing
CIV-0124,Civil Engineering,Highway Engineering,Applied Highway Engineering,Intermediate,NPTEL,Video Course,"Building on foundational knowledge, this course goes deeper into Highway Engineering, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Highway Engineering concepts to realistic scenarios.",cost estimation; project scheduling; surveying; soil testing,etabs; ms project; autocad,Introduction to Highway Engineering,26,4.2,3485,site engineer; construction manager; urban planner,infrastructure; construction
EEE-0129,Electrical Engineering,Switchgear and Protection,Advanced Switchgear and Protection,Advanced,NPTEL,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in Switchgear and Protection, including optimization techniques, edge cases, and current best practices used in Electrical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",matlab simulink; electrical machine design; power system analysis; protection relay coordination,labview; plc software; pspice,Applied Switchgear and Protection,31,4.4,5829,automation engineer; energy consultant; power systems engineer,utilities; manufacturing
BME-0070,Biomedical Engineering,Tissue Engineering,Tissue Engineering Capstone Project,Capstone,FutureLearn,Interactive Lab,"A project-based capstone course where learners apply everything covered across the Tissue Engineering track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",regulatory compliance; biomechanics analysis; medical device design; biomedical signal processing,labview; ansys; python,Advanced Tissue Engineering,16,4.2,1128,rehabilitation engineer; medical device engineer; biomedical engineer,medical devices; research institutes
CSE-0170,Computer Science Engineering,Robotics Programming,Robotics Programming Capstone Project,Capstone,Udacity,Self-paced Reading,"A project-based capstone course where learners apply everything covered across the Robotics Programming track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",java; c++; rest api; kubernetes,azure; tensorflow; pytorch,Advanced Robotics Programming,17,4.4,2737,devops engineer; software engineer; systems architect,technology; healthcare
AER-0053,Aerospace Engineering,Spacecraft Design,Introduction to Spacecraft Design,Beginner,Udacity,Instructor-led Live,"This foundational course introduces the core concepts of Spacecraft Design within Aerospace Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Spacecraft Design is required, though general familiarity with Aerospace Engineering fundamentals is helpful.",flight dynamics; matlab; orbital mechanics calculations; aircraft structural analysis,ansys fluent; nastran; catia,None,18,3.8,4667,propulsion engineer; spacecraft systems engineer; cfd analyst,aviation; aerospace
PET-0118,Petroleum Engineering,Formation Evaluation,Advanced Formation Evaluation,Advanced,Pluralsight,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Formation Evaluation, including optimization techniques, edge cases, and current best practices used in Petroleum Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",well log interpretation; drilling engineering analysis; petroleum economics; reservoir simulation,prosper; petrel; autocad,Applied Formation Evaluation,34,4.9,3843,production engineer; petroleum geologist; drilling engineer,oil and gas; offshore drilling
CSE-0054,Computer Science Engineering,Database Systems,Applied Database Systems,Intermediate,edX,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Database Systems, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Database Systems concepts to realistic scenarios.",linux; docker; kubernetes; rest api,tensorflow; github; jenkins,Introduction to Database Systems,37,4.3,738,security analyst; ml engineer; cloud engineer,healthcare; telecommunications
